date,state,categoryName,visitIndex,visitIndexOver65,visitIndexUnder65,rank
2020-03-01,Georgia,Food,112.0,105.0,112.0,1
2020-03-01,Georgia,Shops & Services,115.0,105.0,115.0,2
2020-03-01,Georgia,Grocery,99.0,96.0,99.0,3
2020-03-01,Georgia,Gas Stations,111.0,112.0,111.0,4
2020-03-01,Georgia,Fast Food Restaurants,118.0,116.0,118.0,5
2020-03-01,Georgia,Outdoors & Recreation,117.0,119.0,117.0,6
2020-03-01,Georgia,Big Box Stores,110.0,106.0,110.0,7
2020-03-01,Georgia,Airport,103.0,97.0,103.0,8
2020-03-01,Georgia,Residences,106.0,118.0,105.0,9
2020-03-01,Georgia,Arts & Entertainment,109.0,106.0,109.0,10
2020-03-01,Georgia,Nightlife Spots,110.0,117.0,109.0,11
2020-03-01,Georgia,Professional & Other Places,104.0,108.0,104.0,12
2020-03-01,Georgia,Hotel,119.0,129.0,119.0,13
2020-03-01,Georgia,Convenience Store,107.0,113.0,107.0,14
2020-03-01,Georgia,Discount Stores,105.0,92.0,106.0,15
2020-03-01,Georgia,School,110.0,109.0,110.0,16
2020-03-01,Georgia,Medical,107.0,103.0,107.0,17
2020-03-01,Georgia,Hardware Stores,116.0,114.0,116.0,18
2020-03-01,Georgia,Sports,120.0,125.0,120.0,19
2020-03-01,Georgia,Drug Store,108.0,103.0,109.0,20
2020-03-01,Georgia,Travel & Transport,113.0,137.0,113.0,21
2020-03-01,Georgia,Colleges & Universities,117.0,141.0,117.0,22
2020-03-01,Georgia,Fitness Center,102.0,94.0,102.0,23
2020-03-01,Georgia,Office,106.0,102.0,106.0,24
2020-03-01,Georgia,Government,113.0,106.0,114.0,25
2020-03-01,Georgia,Alcohol,109.0,111.0,109.0,26
2020-03-01,Georgia,Banks,115.0,104.0,116.0,27
2020-03-01,Georgia,Metro Stations,118.0,126.0,118.0,28
2020-03-01,Georgia,Spiritual Center,118.0,135.0,117.0,29
2020-03-01,Georgia,Bus,136.0,"",135.0,30
2020-03-01,Georgia,Beach,104.0,112.0,104.0,31
2020-03-01,Georgia,Light Rail Stations,140.0,"",141.0,32
2020-03-02,Georgia,Food,107.0,102.0,107.0,1
2020-03-02,Georgia,Shops & Services,104.0,99.0,105.0,2
2020-03-02,Georgia,Gas Stations,104.0,98.0,104.0,3
2020-03-02,Georgia,Grocery,105.0,101.0,105.0,4
2020-03-02,Georgia,Fast Food Restaurants,110.0,101.0,110.0,5
2020-03-02,Georgia,Medical,102.0,97.0,102.0,6
2020-03-02,Georgia,School,113.0,109.0,113.0,7
2020-03-02,Georgia,Airport,101.0,93.0,101.0,8
2020-03-02,Georgia,Professional & Other Places,104.0,103.0,104.0,9
2020-03-02,Georgia,Outdoors & Recreation,97.0,93.0,97.0,10
2020-03-02,Georgia,Big Box Stores,108.0,100.0,109.0,11
2020-03-02,Georgia,Colleges & Universities,97.0,94.0,97.0,12
2020-03-02,Georgia,Office,101.0,97.0,101.0,13
2020-03-02,Georgia,Residences,97.0,86.0,98.0,14
2020-03-02,Georgia,Convenience Store,103.0,96.0,103.0,15
2020-03-02,Georgia,Hotel,106.0,101.0,106.0,16
2020-03-02,Georgia,Government,107.0,104.0,107.0,17
2020-03-02,Georgia,Discount Stores,101.0,93.0,102.0,18
2020-03-02,Georgia,Fitness Center,104.0,99.0,104.0,19
2020-03-02,Georgia,Arts & Entertainment,104.0,109.0,104.0,20
2020-03-02,Georgia,Hardware Stores,103.0,95.0,103.0,21
2020-03-02,Georgia,Nightlife Spots,102.0,91.0,102.0,22
2020-03-02,Georgia,Drug Store,106.0,97.0,107.0,23
2020-03-02,Georgia,Travel & Transport,106.0,99.0,106.0,24
2020-03-02,Georgia,Sports,96.0,84.0,97.0,25
2020-03-02,Georgia,Banks,122.0,115.0,122.0,26
2020-03-02,Georgia,Alcohol,108.0,108.0,108.0,27
2020-03-02,Georgia,Metro Stations,99.0,109.0,99.0,28
2020-03-02,Georgia,Bus,106.0,"",107.0,29
2020-03-02,Georgia,Beach,97.0,114.0,96.0,30
2020-03-02,Georgia,Spiritual Center,116.0,"",118.0,31
2020-03-02,Georgia,Light Rail Stations,110.0,"",110.0,32
2020-03-03,Georgia,Food,103.0,97.0,104.0,1
2020-03-03,Georgia,Shops & Services,105.0,100.0,105.0,2
2020-03-03,Georgia,Gas Stations,103.0,99.0,103.0,3
2020-03-03,Georgia,Grocery,108.0,101.0,108.0,4
2020-03-03,Georgia,Fast Food Restaurants,107.0,96.0,107.0,5
2020-03-03,Georgia,School,104.0,98.0,104.0,6
2020-03-03,Georgia,Medical,97.0,91.0,97.0,7
2020-03-03,Georgia,Professional & Other Places,99.0,98.0,99.0,8
2020-03-03,Georgia,Outdoors & Recreation,102.0,99.0,102.0,9
2020-03-03,Georgia,Big Box Stores,112.0,108.0,112.0,10
2020-03-03,Georgia,Airport,89.0,92.0,89.0,11
2020-03-03,Georgia,Colleges & Universities,94.0,91.0,94.0,12
2020-03-03,Georgia,Office,95.0,88.0,95.0,13
2020-03-03,Georgia,Residences,99.0,89.0,99.0,14
2020-03-03,Georgia,Convenience Store,102.0,99.0,102.0,15
2020-03-03,Georgia,Government,102.0,104.0,102.0,16
2020-03-03,Georgia,Discount Stores,106.0,92.0,106.0,17
2020-03-03,Georgia,Arts & Entertainment,109.0,111.0,109.0,18
2020-03-03,Georgia,Fitness Center,99.0,94.0,100.0,19
2020-03-03,Georgia,Hotel,99.0,97.0,99.0,20
2020-03-03,Georgia,Drug Store,110.0,100.0,110.0,21
2020-03-03,Georgia,Hardware Stores,105.0,91.0,105.0,22
2020-03-03,Georgia,Nightlife Spots,103.0,101.0,103.0,23
2020-03-03,Georgia,Banks,130.0,125.0,130.0,24
2020-03-03,Georgia,Sports,102.0,94.0,103.0,25
2020-03-03,Georgia,Travel & Transport,97.0,94.0,98.0,26
2020-03-03,Georgia,Alcohol,113.0,111.0,113.0,27
2020-03-03,Georgia,Metro Stations,94.0,92.0,94.0,28
2020-03-03,Georgia,Bus,111.0,"",111.0,29
2020-03-03,Georgia,Beach,101.0,134.0,99.0,30
2020-03-03,Georgia,Spiritual Center,99.0,"",100.0,31
2020-03-03,Georgia,Light Rail Stations,103.0,"",103.0,32
2020-03-04,Georgia,Food,98.0,90.0,98.0,1
2020-03-04,Georgia,Shops & Services,96.0,87.0,96.0,2
2020-03-04,Georgia,Gas Stations,96.0,90.0,96.0,3
2020-03-04,Georgia,Grocery,96.0,89.0,96.0,4
2020-03-04,Georgia,Fast Food Restaurants,99.0,90.0,100.0,5
2020-03-04,Georgia,Medical,94.0,93.0,94.0,6
2020-03-04,Georgia,School,98.0,93.0,98.0,7
2020-03-04,Georgia,Professional & Other Places,96.0,85.0,96.0,8
2020-03-04,Georgia,Outdoors & Recreation,90.0,82.0,90.0,9
2020-03-04,Georgia,Big Box Stores,97.0,87.0,97.0,10
2020-03-04,Georgia,Airport,91.0,83.0,92.0,11
2020-03-04,Georgia,Colleges & Universities,90.0,85.0,90.0,12
2020-03-04,Georgia,Office,92.0,86.0,93.0,13
2020-03-04,Georgia,Residences,94.0,89.0,94.0,14
2020-03-04,Georgia,Convenience Store,96.0,85.0,96.0,15
2020-03-04,Georgia,Government,101.0,99.0,101.0,16
2020-03-04,Georgia,Hotel,93.0,88.0,94.0,17
2020-03-04,Georgia,Arts & Entertainment,100.0,94.0,100.0,18
2020-03-04,Georgia,Discount Stores,95.0,82.0,96.0,19
2020-03-04,Georgia,Fitness Center,95.0,91.0,95.0,20
2020-03-04,Georgia,Nightlife Spots,96.0,92.0,96.0,21
2020-03-04,Georgia,Drug Store,99.0,93.0,99.0,22
2020-03-04,Georgia,Hardware Stores,95.0,82.0,96.0,23
2020-03-04,Georgia,Travel & Transport,96.0,77.0,97.0,24
2020-03-04,Georgia,Sports,90.0,78.0,91.0,25
2020-03-04,Georgia,Banks,106.0,93.0,107.0,26
2020-03-04,Georgia,Alcohol,99.0,91.0,100.0,27
2020-03-04,Georgia,Metro Stations,86.0,84.0,87.0,28
2020-03-04,Georgia,Bus,107.0,"",107.0,29
2020-03-04,Georgia,Spiritual Center,86.0,"",87.0,30
2020-03-04,Georgia,Beach,77.0,"",79.0,31
2020-03-04,Georgia,Light Rail Stations,93.0,"",94.0,32
2020-03-05,Georgia,Food,99.0,95.0,99.0,1
2020-03-05,Georgia,Shops & Services,99.0,94.0,99.0,2
2020-03-05,Georgia,Gas Stations,97.0,94.0,98.0,3
2020-03-05,Georgia,Grocery,98.0,93.0,98.0,4
2020-03-05,Georgia,Fast Food Restaurants,100.0,97.0,101.0,5
2020-03-05,Georgia,School,99.0,97.0,99.0,6
2020-03-05,Georgia,Medical,99.0,95.0,99.0,7
2020-03-05,Georgia,Professional & Other Places,100.0,98.0,100.0,8
2020-03-05,Georgia,Airport,92.0,89.0,92.0,9
2020-03-05,Georgia,Big Box Stores,98.0,100.0,98.0,10
2020-03-05,Georgia,Outdoors & Recreation,97.0,93.0,97.0,11
2020-03-05,Georgia,Colleges & Universities,93.0,91.0,93.0,12
2020-03-05,Georgia,Office,95.0,93.0,95.0,13
2020-03-05,Georgia,Residences,98.0,97.0,98.0,14
2020-03-05,Georgia,Convenience Store,98.0,90.0,99.0,15
2020-03-05,Georgia,Hotel,95.0,97.0,95.0,16
2020-03-05,Georgia,Discount Stores,97.0,85.0,97.0,17
2020-03-05,Georgia,Government,100.0,99.0,100.0,18
2020-03-05,Georgia,Arts & Entertainment,101.0,95.0,102.0,19
2020-03-05,Georgia,Fitness Center,98.0,95.0,98.0,20
2020-03-05,Georgia,Nightlife Spots,100.0,92.0,100.0,21
2020-03-05,Georgia,Drug Store,99.0,95.0,99.0,22
2020-03-05,Georgia,Hardware Stores,100.0,102.0,100.0,23
2020-03-05,Georgia,Travel & Transport,102.0,93.0,102.0,24
2020-03-05,Georgia,Sports,94.0,92.0,94.0,25
2020-03-05,Georgia,Banks,108.0,109.0,107.0,26
2020-03-05,Georgia,Alcohol,106.0,93.0,107.0,27
2020-03-05,Georgia,Metro Stations,89.0,93.0,88.0,28
2020-03-05,Georgia,Bus,99.0,"",99.0,29
2020-03-05,Georgia,Spiritual Center,96.0,"",96.0,30
2020-03-05,Georgia,Beach,91.0,79.0,92.0,31
2020-03-05,Georgia,Light Rail Stations,96.0,"",96.0,32
2020-03-06,Georgia,Food,101.0,97.0,101.0,1
2020-03-06,Georgia,Shops & Services,103.0,101.0,103.0,2
2020-03-06,Georgia,Gas Stations,100.0,100.0,100.0,3
2020-03-06,Georgia,Grocery,95.0,96.0,94.0,4
2020-03-06,Georgia,Fast Food Restaurants,102.0,98.0,103.0,5
2020-03-06,Georgia,School,108.0,104.0,108.0,6
2020-03-06,Georgia,Outdoors & Recreation,109.0,108.0,109.0,7
2020-03-06,Georgia,Medical,102.0,97.0,102.0,8
2020-03-06,Georgia,Professional & Other Places,101.0,95.0,101.0,9
2020-03-06,Georgia,Big Box Stores,95.0,99.0,95.0,10
2020-03-06,Georgia,Airport,87.0,77.0,87.0,11
2020-03-06,Georgia,Residences,105.0,105.0,105.0,12
2020-03-06,Georgia,Convenience Store,103.0,101.0,103.0,13
2020-03-06,Georgia,Office,97.0,100.0,97.0,14
2020-03-06,Georgia,Colleges & Universities,96.0,103.0,96.0,15
2020-03-06,Georgia,Hotel,102.0,91.0,102.0,16
2020-03-06,Georgia,Arts & Entertainment,103.0,94.0,104.0,17
2020-03-06,Georgia,Nightlife Spots,108.0,109.0,108.0,18
2020-03-06,Georgia,Discount Stores,96.0,99.0,96.0,19
2020-03-06,Georgia,Hardware Stores,110.0,108.0,110.0,20
2020-03-06,Georgia,Government,104.0,108.0,104.0,21
2020-03-06,Georgia,Fitness Center,101.0,102.0,101.0,22
2020-03-06,Georgia,Drug Store,98.0,98.0,98.0,23
2020-03-06,Georgia,Sports,111.0,112.0,111.0,24
2020-03-06,Georgia,Travel & Transport,102.0,89.0,102.0,25
2020-03-06,Georgia,Banks,104.0,108.0,104.0,26
2020-03-06,Georgia,Alcohol,105.0,102.0,105.0,27
